assessment_url,data1,data2
https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Description,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms."
https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Assessment length,Approximate Completion Time in minutes = 30
https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Description,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services."
https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Assessment length,Approximate Completion Time in minutes = 13
https://www.shl.com/products/product-catalog/view/apache-spark-new/,Description,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation."
https://www.shl.com/products/product-catalog/view/apache-spark-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/apache-spark-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/apache-spark-new/,Assessment length,Approximate Completion Time in minutes = 8
https://www.shl.com/products/product-catalog/view/apache-pig-new/,Description,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin."
https://www.shl.com/products/product-catalog/view/apache-pig-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/apache-pig-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/apache-pig-new/,Assessment length,Approximate Completion Time in minutes = 6
https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Description,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations."
https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Assessment length,Approximate Completion Time in minutes = 6
https://www.shl.com/products/product-catalog/view/apache-hive-new/,Description,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language."
https://www.shl.com/products/product-catalog/view/apache-hive-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/apache-hive-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/apache-hive-new/,Assessment length,Approximate Completion Time in minutes = 5
